kpi1:# Properties	primary	271
kpi1:# Properties	secondary	15,193
kpi2:Current Occupancy %	primary	91.4%
kpi2:Current Occupancy %	secondary	89.2%
kpi3:Avg Actual  Rent	primary	$971
kpi3:Avg Actual  Rent	secondary	$67
kpi4:NOI Budget Variance %	primary	-2.8%
kpi4:NOI Budget Variance %	secondary	$-6.76K
kpi5:YoY NOI Δ	primary	146.9%
kpi5:YoY NOI Δ	secondary	$139.4K
kpi6:YoY Potential Rent Δ	primary	155.6%
kpi6:YoY Potential Rent Δ	secondary	$252.9K
kpi7:Expense Ratio	primary	41.8%
kpi7:Expense Ratio	secondary	NO_VALUE
